;date;energy_reserves;minerals_reserves;food_reserves;consumer_goods_reserves;alloys_reserves;volatile_motes_reserves;exotic_gases_reserves;rare_crystals_reserves;living_metal_reserves;zro_reserves;dark_matter_reserves;nanites_reserves;minor_artifacts_reserves;unity_reserves;energy_income;minerals_income;food_income;consumer_goods_income;alloys_income;volatile_motes_income;exotic_gases_income;rare_crystals_income;living_metal_income;zro_income;dark_matter_income;nanites_income;minor_artifacts_income;unity_income;physics_research_income;society_research_income;engineering_research_income
12;2201.01.03;1012.3856;138.88;484.48;88.16;155.3172;0.0;0.0;0.0;0;0.0;0.0;0;0.0;153.2091;74.8838;28.24;36.04;3.18;12.9431;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.2;21.12;21.12;24.12
13;2201.02.03;1081.90758;177.808;519.872;91.124;168.1523;0.0;0.0;0.0;0;0.0;0.0;0;0.0;175.0491;69.52198;38.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
14;2201.03.03;1145.75066;216.736;555.264;94.088;180.9874;0.0;0.0;0.0;0;0.0;0.0;0;0.0;196.8891;63.84308;38.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
15;2201.04.03;1209.59374;255.664;590.656;97.052;193.8225;0.0;0.0;0.0;0;0.0;0.0;0;0.0;218.7291;63.84308;38.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
16;2201.05.03;1272.43682;197.592;626.048;100.016;206.6576;0.0;0.0;0.0;0;0.0;0.0;0;10.0;240.5691;62.84308;41.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
17;2201.06.03;1335.2799;239.52;661.44;102.98;219.4927;0.0;0.0;0.0;0;0.0;0.0;0;10.0;262.4091;62.84308;41.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
18;2201.07.03;1398.12298;281.448;696.832;105.944;232.3278;0.0;0.0;0.0;0;0.0;0.0;0;10.0;284.2491;62.84308;41.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
19;2201.08.03;1460.96606;323.376;732.224;108.908;245.1629;0.0;0.0;0.0;0;0.0;0.0;0;10.0;306.0891;62.84308;41.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
20;2201.09.03;1525.80914;365.304;767.616;111.872;257.998;0.0;0.0;0.0;0;0.0;0.0;0;10.0;327.9291;64.84308;41.928;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
21;2201.10.03;1593.05222;409.832;803.008;114.836;180.8331;0.0;0.0;0.0;0;0.0;0.0;0;10.0;49.7691;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
22;2201.11.03;1660.2953;454.36;838.4;117.8;193.6682;0.0;0.0;0.0;0;0.0;0.0;0;10.0;71.6091;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
23;2201.12.03;1727.53838;498.888;873.792;120.764;206.5033;0.0;0.0;0.0;0;0.0;0.0;0;10.0;93.4491;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
24;2202.01.03;1794.78146;543.416;909.184;123.728;219.3384;0.0;0.0;0.0;0;0.0;0.0;0;10.0;115.2891;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
25;2202.02.03;1862.02454;87.944;944.576;126.692;232.1735;0.0;0.0;0.0;0;0.0;0.0;0;10.0;137.1291;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
26;2202.03.03;1929.26762;132.472;979.968;129.656;245.0086;0.0;0.0;0.0;0;0.0;0.0;0;10.0;158.9691;67.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
27;2202.04.03;1995.5107;177.0;1015.36;132.62;257.8437;0.0;0.0;0.0;0;0.0;0.0;0;10.0;180.8091;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
28;2202.05.03;2061.75378;221.528;1050.752;135.584;270.6788;0.0;0.0;0.0;0;0.0;0.0;0;10.0;202.6491;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
29;2202.06.03;2127.99686;266.056;1086.144;138.548;283.5139;0.0;0.0;0.0;0;0.0;0.0;0;10.0;224.4891;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
30;2202.07.03;2194.23994;310.584;1121.536;141.512;296.349;0.0;0.0;0.0;0;0.0;0.0;0;10.0;246.3291;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
31;2202.08.03;2260.48302;355.112;1156.928;144.476;309.1841;0.0;0.0;0.0;0;0.0;0.0;0;10.0;268.1691;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
32;2202.09.03;2326.7261;399.64;1192.32;147.44;322.0192;0.0;0.0;0.0;0;0.0;0.0;0;10.0;290.0091;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
33;2202.10.03;2392.96918;444.168;1227.712;150.404;334.8543;0.0;0.0;0.0;0;0.0;0.0;0;10.0;311.8491;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
34;2202.11.03;2459.21226;488.696;1263.104;153.368;347.6894;0.0;0.0;0.0;0;0.0;0.0;0;10.0;333.6891;66.24308;44.528;35.392;2.964;12.8351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.84;20.976;20.976;23.976
35;2202.12.03;2530.6625;533.512;1297.928;156.226;360.5965;0.0;0.0;0.0;0;0.0;0.0;0;10.0;355.7691;71.45024;44.816;34.824;2.858;12.9071;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.08;21.072;21.072;24.072
36;2203.01.03;2602.30486;578.328;1332.752;159.084;373.5036;0.0;0.0;0.0;0;0.0;0.0;0;10.0;35.62577;71.64236;44.816;34.824;2.858;12.9071;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.08;21.072;21.072;24.072
37;2203.02.03;2673.94722;623.144;1367.576;161.942;386.4107;0.0;0.0;0.0;0;0.0;0.0;0;10.0;57.70577;71.64236;44.816;34.824;2.858;12.9071;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.08;21.072;21.072;24.072
38;2203.03.03;2745.58958;667.96;1402.4;164.8;399.3178;0.0;0.0;0.0;0;0.0;0.0;0;10.0;79.78577;71.64236;44.816;34.824;2.858;12.9071;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.08;21.072;21.072;24.072
39;2203.04.03;2817.23194;712.776;1437.224;167.658;412.2249;0.0;0.0;0.0;0;0.0;0.0;0;10.0;101.86577;71.64236;44.816;34.824;2.858;12.9071;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.08;21.072;21.072;24.072
40;2203.05.03;2880.15327;294.872;1470.968;177.78;429.014;0.0;0.0;0.0;0;0.0;0.0;0;10.0;123.34577;62.92133;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
41;2203.06.03;2939.47827;326.968;1504.712;187.902;445.8031;0.0;0.0;0.0;0;0.0;0.0;0;10.0;144.82577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
42;2203.07.03;2998.80327;359.064;1538.456;198.024;462.5922;0.0;0.0;0.0;0;0.0;0.0;0;10.0;166.30577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
43;2203.08.03;3058.12827;391.16;1572.2;208.146;479.3813;0.0;0.0;0.0;0;0.0;0.0;0;10.0;187.78577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
44;2203.09.03;3117.45327;423.256;1605.944;218.268;496.1704;0.0;0.0;0.0;0;0.0;0.0;0;10.0;209.26577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
45;2203.10.03;3176.77827;455.352;1639.688;228.39;512.9595;0.0;0.0;0.0;0;0.0;0.0;0;10.0;230.74577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
46;2203.11.03;3236.10327;387.448;1673.432;238.512;529.7486;0.0;0.0;0.0;0;0.0;0.0;0;10.0;252.22577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
47;2203.12.03;3295.42827;419.544;1707.176;248.634;546.5377;0.0;0.0;0.0;0;0.0;0.0;0;10.0;273.70577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
48;2204.01.03;3354.75327;451.64;1740.92;258.756;563.3268;0.0;0.0;0.0;0;0.0;0.0;0;10.0;295.18577;59.325;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
49;2204.02.03;3416.47827;483.736;1774.664;268.878;580.1159;0.0;0.0;0.0;0;0.0;0.0;0;10.0;316.66577;61.725;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
50;2204.03.03;3478.20327;415.832;1808.408;279.0;596.905;0.0;0.0;0.0;0;0.0;0.0;0;10.0;338.14577;61.725;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;21.48;20.832;20.832;23.832
51;2204.04.03;3539.92827;447.928;1842.152;289.122;613.6941;0.0;0.0;0.0;0;0.0;0.0;0;10.0;357.62577;61.725;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;19.48;20.832;20.832;23.832
52;2204.05.03;3601.65327;480.024;1875.896;299.244;630.4832;0.0;0.0;0.0;0;0.0;0.0;0;10.0;377.10577;61.725;32.096;33.744;10.122;16.7891;0.0;0.0;0.0;0;0.0;0.0;0;0.0;19.48;20.832;20.832;23.832
53;2204.06.03;3656.9672;499.4;1908.56;316.27;650.9743;0.0;0.0;0.0;0;0.0;0.0;0;10.0;395.98577;55.31393;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;23.592
54;2204.07.03;3706.83924;518.776;1941.224;333.296;671.4654;0.0;0.0;0.0;0;0.0;0.0;0;10.0;414.86577;49.87204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;23.592
55;2204.08.03;3756.71128;538.152;1973.888;350.322;691.9565;0.0;0.0;0.0;0;0.0;0.0;0;10.0;433.74577;49.87204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;23.592
56;2204.09.03;3805.58332;557.528;2006.552;367.348;712.4476;0.0;0.0;0.0;0;0.0;0.0;0;10.0;452.62577;48.87204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
57;2204.10.03;3857.85536;576.904;2039.216;384.374;642.9387;0.0;0.0;0.0;0;0.0;0.0;0;10.0;24.46753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
58;2204.11.03;3910.1274;596.28;2071.88;401.4;663.4298;0.0;0.0;0.0;0;0.0;0.0;0;10.0;43.34753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
59;2204.12.03;3962.39944;615.656;2104.544;418.426;683.9209;0.0;0.0;0.0;0;0.0;0.0;0;10.0;62.22753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
60;2205.01.03;4014.67148;275.032;2137.208;435.452;704.412;0.0;0.0;0.0;0;0.0;0.0;0;10.0;81.10753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
61;2205.02.03;4066.94352;294.408;2169.872;452.478;724.9031;0.0;0.0;0.0;0;0.0;0.0;0;10.0;99.98753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
62;2205.03.03;4119.21556;313.784;2202.536;469.504;745.3942;0.0;0.0;0.0;0;0.0;0.0;0;10.0;118.86753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
63;2205.04.03;4171.4876;333.16;2235.2;486.53;765.8853;0.0;0.0;0.0;0;0.0;0.0;0;10.0;137.74753;52.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
64;2205.05.03;4222.75964;352.536;2267.864;503.556;786.3764;0.0;0.0;0.0;0;0.0;0.0;0;10.0;156.62753;51.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
65;2205.06.03;4274.03168;371.912;2300.528;520.582;716.8675;0.0;0.0;0.0;0;0.0;0.0;0;10.0;175.50753;51.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
66;2205.07.03;4325.30372;391.288;2333.192;537.608;737.3586;0.0;0.0;0.0;0;0.0;0.0;0;10.0;194.38753;51.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
67;2205.08.03;4376.57576;410.664;2365.856;554.634;757.8497;0.0;0.0;0.0;0;0.0;0.0;0;10.0;213.26753;51.27204;19.376;32.664;17.026;20.4911;0.0;0.0;0.0;0;0.0;0.0;0;0.0;18.88;20.592;20.592;25.592
68;2205.09.03;4432.74245;430.328;2397.952;571.698;778.4848;0.0;0.0;0.0;0;0.0;0.0;0;10.0;232.38753;56.16669;19.664;32.096;17.064;20.6351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;19.12;20.688;20.688;25.688
69;2205.10.03;4489.07681;449.992;2430.048;588.762;799.1199;0.0;0.0;0.0;0;0.0;0.0;0;10.0;251.50753;56.33436;19.664;32.096;17.064;20.6351;0.0;0.0;0.0;0;0.0;0.0;0;0.0;19.12;20.688;20.688;25.688
70;2205.11.03;4539.45706;471.384;2464.736;607.054;818.619;0.0;0.0;0.0;0;0.0;0.0;0;10.0;278.09953;50.38025;21.392;34.688;18.292;19.4991;0.0;0.0;0.0;0;0.0;0.0;0;0.0;26.592;21.264;21.264;26.264
71;2205.12.03;4589.15692;492.776;2499.424;625.346;838.12755;0.0;0.0;0.0;0;0.0;0.0;0;10.0;300.69153;49.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
72;2206.01.03;4638.85678;514.168;2534.112;643.638;857.6361;0.0;0.0;0.0;0;0.0;0.0;0;10.0;323.28353;49.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
73;2206.02.03;4688.55664;535.56;2568.8;661.93;877.14465;0.0;0.0;0.0;0;0.0;0.0;0;10.0;345.87553;49.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
74;2206.03.03;4737.2565;556.952;2603.488;680.222;896.6532;0.0;0.0;0.0;0;0.0;0.0;0;10.0;368.46753;48.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
75;2206.04.03;4785.95636;478.344;2438.176;498.514;716.16175;0.0;0.0;0.0;0;0.0;0.0;0;10.0;391.05953;48.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
76;2206.05.03;4834.65622;499.736;2472.864;516.806;735.6703;0.0;0.0;0.0;0;0.0;0.0;0;10.0;413.65153;48.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
77;2206.06.03;4883.35608;161.128;2507.552;535.098;755.17885;0.0;0.0;0.0;0;0.0;0.0;0;10.0;436.24353;48.69986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
78;2206.07.03;4935.65594;182.52;2542.24;553.39;684.6874;0.0;0.0;0.0;0;0.0;0.0;0;40.0;945.83553;52.29986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;22.592;21.264;21.264;26.264
79;2206.08.03;4987.9558;203.912;2576.928;571.682;704.19595;0.0;0.0;0.0;0;0.0;0.0;0;40.0;969.87753;52.29986;21.392;34.688;18.292;19.50855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;24.042;21.264;21.264;26.264
80;2206.09.03;5040.25566;225.304;2611.616;591.174;724.3045;0.0;0.0;0.0;0;0.0;0.0;0;40.0;389.46974;52.29986;21.392;34.688;19.492;20.10855;0.0;0.0;0.0;0;0.0;0.0;0;0.0;24.642;21.664;21.664;26.664
81;2206.10.03;5093.54499;247.32;2647.24;611.29;744.72505;0.0;0.0;0.0;0;0.0;0.0;0;40.0;412.73574;53.28933;22.016;35.624;20.116;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;21.872;21.872;26.872
82;2206.11.03;5146.83617;269.336;2682.864;631.406;765.1456;0.0;0.0;0.0;0;0.0;0.0;0;40.0;436.00174;53.29118;22.016;35.624;20.116;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;21.872;21.872;26.872
83;2206.12.03;5205.15343;291.352;2718.488;651.522;785.56615;0.0;0.0;0.0;0;0.0;0.0;0;40.0;459.26774;58.31726;22.016;35.624;20.116;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;21.872;21.872;26.872
84;2207.01.03;5263.47069;313.368;2754.112;671.638;805.9867;0.0;0.0;0.0;0;0.0;0.0;0;40.0;482.53374;58.31726;22.016;35.624;20.116;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;21.872;21.872;27.372
85;2207.02.03;5321.78795;335.384;2789.736;691.754;826.40725;0.0;0.0;0.0;0;0.0;0.0;0;40.0;505.79974;58.31726;22.016;35.624;20.116;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;21.872;21.872;27.372
86;2207.03.03;5361.30662;357.4;2825.36;707.37;846.8278;0.0;0.0;0.0;0;0.0;0.0;0;40.0;529.06574;39.51867;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
87;2207.04.03;5400.31458;379.416;2860.984;722.986;867.24835;0.0;0.0;0.0;0;0.0;0.0;0;40.0;552.33174;39.00796;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
88;2207.05.03;5439.32254;301.432;2896.608;738.602;887.6689;0.0;0.0;0.0;0;0.0;0.0;0;40.0;575.59774;39.00796;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
89;2207.06.03;5479.3305;323.448;2932.232;754.218;908.08945;0.0;0.0;0.0;0;0.0;0.0;0;40.0;598.86374;40.00796;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
90;2207.07.03;5519.33846;345.464;2967.856;769.834;928.51;0.0;0.0;0.0;0;0.0;0.0;0;40.0;622.12974;40.00796;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
91;2207.08.03;5559.36782;367.48;3003.48;785.45;948.93055;0.0;0.0;0.0;0;0.0;0.0;0;40.0;645.39574;40.02936;22.016;35.624;15.616;20.42055;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
92;2207.09.03;5600.84897;389.496;3039.104;801.066;969.37474;0.0;0.0;0.0;0;0.0;0.0;0;40.0;668.66174;41.48115;22.016;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
93;2207.10.03;5641.47232;413.912;3074.728;816.682;989.81893;0.0;0.0;0.0;0;0.0;0.0;0;40.0;691.92774;40.62335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
94;2207.11.03;5682.17567;438.328;3110.352;832.298;1010.26312;0.0;0.0;0.0;0;0.0;0.0;0;40.0;715.19374;40.70335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
95;2207.12.03;5722.99902;462.744;3145.976;847.914;1030.70731;0.0;0.0;0.0;0;0.0;0.0;0;40.0;738.45974;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
96;2208.01.03;5763.82237;487.16;3181.6;863.53;1051.1515;0.0;0.0;0.0;0;0.0;0.0;0;40.0;761.72574;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
97;2208.02.03;5804.64572;411.576;3217.224;879.146;1071.59569;0.0;0.0;0.0;0;0.0;0.0;0;40.0;784.99174;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
98;2208.03.03;5845.46907;435.992;3252.848;894.762;1092.03988;0.0;0.0;0.0;0;0.0;0.0;0;40.0;808.25774;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
99;2208.04.03;5886.29242;460.408;3288.472;910.378;1112.48407;0.0;0.0;0.0;0;0.0;0.0;0;40.0;831.52374;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
100;2208.05.03;5927.11577;484.824;3324.096;925.994;1132.92826;0.0;0.0;0.0;0;0.0;0.0;0;40.0;854.78974;40.82335;24.416;35.624;15.616;20.44419;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.266;33.744;33.744;39.244
101;2208.06.03;5976.57158;511.496;3358.504;942.016;1053.40045;0.0;0.0;0.0;0;0.0;0.0;0;40.0;65.91573;49.45581;26.672;34.408;16.022;20.47219;0.0;0.0;0.0;0;0.0;0.0;0;0.0;23.122;33.648;33.648;39.148
